team_id,overall,power,tier,week
1,3,3,1,1
6,6,6,2,1
9,4,4,1,1
10,9,9,5,1
11,7,7,3,1
13,5,5,1,1
14,2,2,1,1
16,1,1,1,1
17,8,8,4,1
18,10,10,5,1
1,2,3,2,2
6,8,7,4,2
9,6,6,4,2
10,10,10,5,2
11,4,4,3,2
13,3,2,2,2
14,5,5,4,2
16,1,1,1,2
17,9,8,5,2
18,7,9,5,2
1,4,5,2,3
6,10,8,3,3
9,5,2,2,3
10,9,10,5,3
11,6,4,2,3
13,2,3,2,3
14,8,9,4,3
16,1,1,1,3
17,7,7,3,3
18,3,6,2,3
1,5,5,2,4
6,10,10,4,4
9,3,4,1,4
10,8,9,4,4
11,4,3,1,4
13,2,2,1,4
14,7,7,3,4
16,1,1,1,4
17,9,8,4,4
18,6,6,3,4
1,6,6,3,5
6,10,7,4,5
9,2,1,1,5
10,8,10,5,5
11,3,2,1,5
13,5,4,2,5
14,9,9,4,5
16,1,3,1,5
17,7,8,4,5
18,4,5,2,5
1,6,5,3,6
6,10,7,4,6
9,3,3,2,6
10,9,10,5,6
11,2,2,1,6
13,5,4,2,6
14,7,8,4,6
16,1,1,1,6
17,8,9,5,6
18,4,6,3,6
1,7,5,4,7
6,10,8,5,7
9,3,3,3,7
10,9,10,5,7
11,2,2,2,7
13,6,6,4,7
14,4,4,4,7
16,1,1,1,7
17,8,9,5,7
18,5,7,4,7
1,7,6,4,8
6,9,9,5,8
9,3,4,2,8
10,10,10,5,8
11,2,3,2,8
13,6,7,5,8
14,4,2,2,8
16,1,1,1,8
17,8,8,5,8
18,5,5,3,8
1,10,9,4,9
6,8,8,4,9
9,4,4,3,9
10,9,10,5,9
11,3,3,3,9
13,7,7,4,9
14,2,2,2,9
16,1,1,1,9
17,6,6,4,9
18,5,5,3,9
1,10,9,4,10
6,8,7,4,10
9,5,3,3,10
10,9,10,5,10
11,2,2,2,10
13,6,6,3,10
14,3,5,3,10
16,1,1,1,10
17,7,8,4,10
18,4,4,3,10
1,10,8,4,11
6,7,7,4,11
9,6,5,3,11
10,8,9,4,11
11,2,4,2,11
13,5,3,2,11
14,4,6,3,11
16,1,1,1,11
17,9,10,4,11
18,3,2,2,11
1,9,8,4,12
6,8,9,4,12
9,6,6,3,12
10,7,7,3,12
11,2,2,2,12
13,4,3,2,12
14,3,4,3,12
16,1,1,1,12
17,10,10,4,12
18,5,5,3,12
1,9,8,4,13
6,8,9,4,13
9,6,6,3,13
10,7,7,3,13
11,2,2,2,13
13,4,3,2,13
14,3,4,3,13
16,1,1,1,13
17,10,10,4,13
18,5,5,3,13
